,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,Conversational turns,Joint attention,Mutual gaze,time
Child utterance,1.0,0.0016416311471207405,0.023806940362764414,0.00929933597086588,0.017539553304094017,0.032729617747783345,0.00036669789859539436,0.0738949764380072,0.003368070635425861,0.1485956036304381,0.05435261700120674,0.291128480443935,1.0
Child gaze,0.0018156187225867656,1.0,0.012520441230485775,0.003472926849968874,0.0013087132272820165,0.009534143436447057,0.023952742133242846,0.07092257228166547,0.0063849626365099135,0.011140883803452883,0.17127099717958724,0.023088007456311115,1.0
Child gesture,0.028200439341001002,0.013409817127593345,1.0,0.0011684902067368443,4.139682506131153e-05,0.030609702250834276,0.023332566604753937,0.04260825043594121,0.04969888401358137,0.00015791407033196426,0.04774135306287245,0.0028967862139752847,1.0
Parent utterance,0.004187826858153882,0.0014141104979082145,0.00044423172027328737,1.0,0.7389342565794886,0.001355764924616455,0.07845718213046529,0.0006547024834923606,1.8140197404352114e-05,0.03633442110918724,0.007901374491922453,0.00023038768666429986,1.0
Verbal scaffolding,0.008689128913385281,0.0005862098813922096,1.731300505013502e-05,0.8128805517533527,1.0,2.9355855332526214e-05,0.083964554521492,0.005562528075438636,7.299369678274086e-05,0.013567581485532958,0.0012014027660447527,0.002998625804779619,1.0
Parent gaze,0.02074750772347138,0.005464590391024616,0.01638067585794251,0.0019084140983729016,3.7563152083642025e-05,1.0,0.006203208139388485,6.136989628071849e-06,0.008349916706079355,0.010698344458938155,0.22736653709553886,0.030229515118731724,1.0
Parent gesture,0.00027655639567887705,0.01633358268215232,0.014855439643888382,0.131392692334569,0.1278243407332057,0.007380174609514878,1.0,0.012702972650088323,0.007573848797373962,0.018650812337238025,0.03467393025678969,0.005130776115164646,1.0
Child prop manipulation,0.03022253206239481,0.02622716458159029,0.014711513119513587,0.0005945975848654795,0.004592301952797501,3.959554449450484e-06,0.006888838600918305,1.0,0.00496169556346848,0.025629271626304358,0.0016308722546085103,0.009262653851886286,1.0
Parent prop manipulation,0.006625135773025052,0.011355934611927911,0.08252925761114556,7.923532093202199e-05,0.0002898286001316072,0.0259101981005271,0.01975399490519852,0.023863150133336602,1.0,0.006139042898438666,0.15960302345379665,0.019041330752575674,1.0
Conversational turns,0.09768256952723495,0.006621885854476613,8.763541592431414e-05,0.05303866453834773,0.018003454326616035,0.011094371129020205,0.016256744554436542,0.041193761148157704,0.0020516259839734796,1.0,0.01718524676697896,0.07900406941732231,1.0
Joint attention,0.01760581147574451,0.050161480350224635,0.013055034402163062,0.005683311419372029,0.0007855367418404572,0.11618154113924467,0.014892354769146372,0.0012916343904366774,0.0262822843531482,0.008467988226584741,1.0,0.058675496427647335,1.0
Mutual gaze,0.22496828615126213,0.0161314717236337,0.0018897343652498697,0.0003953293794646284,0.004677363995450345,0.036850449151665375,0.005257077570731791,0.01750072775485344,0.00748032231204068,0.09286989478557525,0.13997735774787345,1.0,1.0
time,0.0345272196439679,0.031218536406289986,0.029148037341422173,0.07666988786415085,0.06969536479711372,0.05446739511572277,0.04578111041946756,0.08442006370589765,0.017552865117003682,0.052523117169288445,0.10659234582913578,0.04468121778793204,1.0
