,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,Conversational turns,Joint attention,Mutual gaze
Child utterance,"[1, 1.0]","[3, 0.4761865877061159]","[4, 0.3995729643790171]","[1, 0.49641662925713825]","[1, 0.47282809611681875]","[4, 0.7888811914804212]","[4, 0.8772041086733136]","[4, 0.9330681191627231]","[4, 0.9978293820911508]","[5, 0.5066912069898868]","[5, 0.4461630658324477]","[5, 0.02999820148793478]"
Child gaze,"[3, 0.5043721115990607]","[1, 1.0]","[1, 1.0]","[5, 0.4774003183626121]","[2, 0.6194161823162423]","[4, 5.085615814419622e-06]","[1, 1.0]","[4, 0.30066918587502434]","[1, 1.0]","[4, 0.32479065788849837]","[5, 0.6814117719771664]","[5, 0.9392140640512125]"
Child gesture,"[4, 0.07436906320035876]","[1, 1.0]","[1, 1.0]","[2, 0.2038172660459371]","[2, 0.146182044788816]","[1, 1.0]","[1, 1.0]","[1, 0.2157289192774058]","[4, 0.9675176327422508]","[3, 0.19850989259472981]","[1, 0.37857913397077037]","[4, 0.900607945726087]"
Parent utterance,"[3, 0.015723488997189398]","[3, 0.28398723829935774]","[2, 0.2759534942058069]","[1, 1.0]","[5, 0.27348226717097385]","[2, 0.39257861875033284]","[2, 9.555206888363784e-06]","[2, 0.00015426032206068983]","[1, 0.1233576465307725]","[5, 0.051838295130678246]","[3, 0.3046622442800028]","[3, 0.916309652017654]"
Verbal scaffolding,"[3, 0.24852513358672557]","[3, 0.20564383862201177]","[2, 0.21875046159966816]","[1, 0.32902298073533603]","[1, 1.0]","[1, 0.4809224639041084]","[2, 9.202008400686238e-07]","[2, 0.00021947781979425005]","[1, 0.09044098319072004]","[5, 0.35476106741804075]","[2, 0.558500515619814]","[1, 0.5074200008911025]"
Parent gaze,"[1, 0.2722786308683501]","[1, 4.250938063198468e-06]","[1, 1.0]","[1, 0.04668318233476388]","[1, 0.48029991316359044]","[1, 1.0]","[3, 0.6169449757808338]","[4, 0.8959006190920694]","[1, 1.0]","[5, 0.759332650364726]","[1, 0.6090904019235984]","[3, 0.8293382626381914]"
Parent gesture,"[4, 0.7120894050213165]","[1, 1.0]","[1, 1.0]","[2, 0.000921165541884158]","[2, 0.0121743146818214]","[5, 0.5334266167634362]","[1, 1.0]","[3, 4.957520824301956e-05]","[1, 1.0]","[5, 0.359338532431949]","[3, 0.002650609013319364]","[5, 0.731813996989384]"
Child prop manipulation,"[2, 0.6808511567283799]","[2, 0.464175777585052]","[4, 0.11176434851309314]","[1, 0.6384529827716835]","[1, 0.6055782744571547]","[3, 0.8508929740217567]","[5, 0.003953853221498973]","[1, 1.0]","[3, 0.027903504851137798]","[1, 0.18951792595750325]","[4, 0.1539278097895769]","[4, 0.7987043469624945]"
Parent prop manipulation,"[5, 0.014948847963609001]","[1, 1.0]","[5, 0.004859442994911412]","[3, 0.29472709568406935]","[3, 0.2130718603857641]","[1, 1.0]","[1, 1.0]","[1, 0.031219625558447785]","[1, 1.0]","[3, 0.0018758517947709548]","[5, 0.055754669662556544]","[1, 1.0]"
Conversational turns,"[2, 0.09978513696765885]","[1, 1.0]","[2, 0.10018875715193072]","[4, 0.29967785738155955]","[4, 0.21251838785437432]","[2, 0.28338265021282866]","[3, 0.016438070978664416]","[4, 0.819680722655701]","[1, 1.0]","[1, 1.0]","[1, 0.37857913397074017]","[1, 0.14483653032073476]"
Joint attention,"[5, 0.0011454606674722297]","[1, 0.9204931985958731]","[4, 0.5284687998896813]","[1, 0.4634060924965503]","[1, 0.7550153650488323]","[3, 0.8839922749996257]","[3, 5.9635516961993965e-05]","[4, 0.3679117923748236]","[1, 0.862583492722163]","[1, 0.32404440780124316]","[1, 1.0]","[4, 0.019557174548173933]"
Mutual gaze,"[1, 1.4050556139424908e-05]","[3, 0.993464594934313]","[4, 0.7380068806853776]","[1, 0.5471286685819513]","[1, 0.18554273586091347]","[2, 0.5334175703529271]","[5, 0.4811618651410374]","[1, 0.40091924944981383]","[1, 1.0]","[2, 4.1767841777714125e-05]","[1, 0.01299469253996262]","[1, 1.0]"
