,Child utterance:utterance,Child utterance:other vocalization,Child gaze:robot,Child gaze:parent,Child gaze:props,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:technical,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Parent gaze:robot,Parent gaze:child,Parent gaze:props,Parent gesture:point at prop,Parent gesture:other,Child prop manipulation:child,Parent prop manipulation:parent,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[1, 1.0]","[1, 1.0]","[5, 0.01634032172310981]","[4, 0.007237745068807083]","[5, 0.9779674419916294]","[2, 0.2071809569513782]","[4, 0.11805444067606667]","[3, 0.48673492733863954]","[1, 1.0]","[1, 0.3005967917032751]","[3, 0.9737287493240725]","[3, 0.4326211091294032]","[1, 1.0]","[5, 0.15460576772531123]","[2, 0.40750934505705794]","[1, 0.3005967917032751]","[4, 0.8503072845889347]","[1, 1.0]","[3, 0.9047311013598842]","[4, 0.9982953276881128]","[5, 0.001475881378257767]","[5, 3.1823596836219887e-07]","[5, 0.12950718590618848]","[3, 0.23189802182066532]","[5, 0.07097540024824758]","[5, 0.9219685606497383]","[2, 0.009337897534488576]"
Child utterance:other vocalization,"[1, 1.0]","[1, 1.0]","[2, 0.6801298197878469]","[3, 1.0716621373572859e-05]","[1, 0.15887097923328908]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.5224128843365081]","[1, 0.0947138836361255]","[1, 0.04500925540490953]","[1, 1.0]","[1, 1.0]","[3, 0.0018654690027115064]","[1, 1.0]","[1, 0.00010881385741904576]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.5521658218701289]","[1, 0.06949110799509625]","[1, 0.037324874525769554]"
Child gaze:robot,"[5, 0.03797763255306964]","[3, 0.0006387544834763674]","[1, 1.0]","[2, 8.339508097672503e-08]","[2, 2.1950224930895185e-13]","[3, 0.7584749930435974]","[1, 0.11346226407808988]","[3, 0.5069868897854923]","[5, 0.35146230091387476]","[3, 0.03547634247020747]","[5, 0.20616398946523828]","[5, 0.31299441626269403]","[4, 0.045466000723552294]","[2, 1.310953507241558e-05]","[2, 0.02277395924684015]","[2, 0.16688804901804005]","[4, 0.06991736789540239]","[2, 0.014374333937647154]","[4, 0.019503303584481314]","[1, 0.12935946347988017]","[1, 0.283950673856769]","[3, 0.20446651943245053]","[3, 0.022937702053004227]","[4, 0.419791030795171]","[2, 0.00032811330232114603]","[2, 5.956377285461168e-07]","[1, 3.6445972205597243e-07]"
Child gaze:parent,"[5, 2.9834472708224866e-06]","[3, 0.0005903254482505308]","[5, 0.00041838733245637975]","[1, 1.0]","[3, 0.10996968357837612]","[5, 0.7607912478263772]","[4, 0.6065265831768863]","[1, 0.2917998614146251]","[5, 0.015333169700766109]","[3, 0.8752201782571547]","[5, 0.8398602932112642]","[1, 0.013075408489148387]","[1, 1.0]","[1, 6.824597741827438e-05]","[2, 9.937126308107476e-09]","[5, 0.698963514890099]","[2, 0.17890305123168362]","[4, 0.8926348639233112]","[4, 0.07548223907645303]","[5, 0.35710994402855745]","[5, 0.004152198338301013]","[1, 0.17485930532806637]","[5, 0.0010547665240188795]","[5, 0.0442420281720975]","[1, 2.644439561760169e-07]","[3, 0.08381837754731539]","[5, 2.6142221413723288e-08]"
Child gaze:props,"[1, 0.4632275809676646]","[2, 0.00746655188145351]","[2, 5.78601681903645e-15]","[1, 0.028391273604641963]","[1, 1.0]","[3, 0.6757621997175085]","[1, 1.0]","[2, 0.11170683254908564]","[4, 0.32632575053404556]","[2, 0.16284430208143294]","[3, 0.0030701911430797693]","[3, 0.2824320690123564]","[5, 0.04140104856662828]","[3, 0.07938163764962691]","[1, 0.22710014122076805]","[5, 0.2880970910619014]","[2, 0.028173522832357113]","[3, 9.550143317404556e-07]","[5, 0.05913061936894373]","[5, 0.505436265545401]","[2, 0.468161383581324]","[4, 0.8730057876478861]","[1, 1.0]","[1, 1.0]","[3, 0.0007873633509630937]","[5, 0.0018616614120690966]","[1, 0.12040946488222687]"
Child gesture:point at prop,"[3, 0.18188674635803553]","[1, 1.0]","[3, 0.7583147642248825]","[1, 1.0]","[4, 0.817696695915483]","[1, 1.0]","[1, 1.0]","[2, 0.07829342935966138]","[1, 1.0]","[2, 0.2229032889239494]","[3, 0.19027994190136974]","[1, 1.0]","[5, 1.384219267344356e-07]","[5, 0.9999896129141542]","[5, 0.9999866360079696]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.12902504388066582]","[3, 0.9530085647708445]","[3, 0.01305047144435391]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.9999913206107854]","[1, 1.0]","[1, 1.0]"
Child gesture:other,"[4, 3.64361584395075e-05]","[1, 1.0]","[3, 0.5063477462275878]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 7.457649318725423e-05]","[1, 0.041124287209217965]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.05979266009630918]","[1, 1.0]","[1, 1.0]"
Parent utterance:utterance,"[3, 0.006056811284679077]","[1, 1.0]","[4, 0.00942049138877036]","[5, 0.5691694772266533]","[1, 0.028477401190901946]","[2, 0.11912784738514262]","[1, 1.0]","[1, 1.0]","[3, 0.453540430755783]","[5, 0.05024514837921338]","[2, 0.09046158138359552]","[5, 0.010778869966328953]","[2, 0.5419425790443613]","[4, 0.11540172800064988]","[3, 0.020215761472678374]","[2, 0.09415977708730336]","[2, 0.0001505035210597522]","[1, 0.024487130760746937]","[2, 7.698649618597974e-05]","[1, 0.11239472456111259]","[4, 0.20073626527492644]","[5, 0.0002137540548479902]","[1, 0.6202552780324506]","[3, 7.032887183208149e-05]","[3, 0.5726491674650744]","[2, 0.34801597154398756]","[1, 0.5654816743812281]"
Parent utterance:missing data,"[1, 1.0]","[1, 1.0]","[4, 0.007965247037983831]","[4, 0.010628293219793776]","[2, 0.03694728851512654]","[1, 1.0]","[1, 1.0]","[4, 0.9964032134832549]","[1, 1.0]","[4, 0.9820615724070478]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.39159347100901576]","[2, 0.11971230236558981]","[5, 2.8270001221217574e-05]","[4, 6.666233714093544e-07]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.08765123898396532]","[3, 0.00397537361968435]","[1, 0.01142452500157908]"
Verbal scaffolding:cognitive,"[3, 0.1847620786266892]","[1, 1.0]","[4, 0.003964188476134282]","[3, 0.8800741519279126]","[1, 0.0007806987874004678]","[1, 0.05490777237638983]","[1, 1.0]","[1, 0.42840273508916416]","[3, 0.10772494006414392]","[1, 1.0]","[5, 0.9999925100726417]","[1, 0.15833276027171064]","[5, 0.04393366879390516]","[4, 0.19566009137683538]","[5, 0.015378141477901184]","[5, 0.006331848723439752]","[1, 1.4461711333631876e-05]","[1, 0.0004978978621932483]","[5, 0.006573232870612944]","[1, 0.7928683994148715]","[5, 0.011966243576442317]","[3, 0.2992354047945096]","[1, 0.5943754685611298]","[3, 0.005868814884275725]","[4, 0.16815121006333614]","[3, 0.13483023624099966]","[1, 0.33826225987519065]"
