,utterance,other vocalization,robot,parent,props,point at prop,other,missing data,cognitive,technical,affective,instruction translation,child,PC,CP,PCP,CPC,MG
utterance,"[1, 1.0]","[1, 1.0]","[5, 0.14374474018574876]","[2, 0.37563885348341663]","[1, 0.0006926062227181792]","[2, 0.00021424914333106963]","[1, 0.20472293121644444]","[3, 0.5282705902491296]","[2, 0.1346114206694545]","[2, 0.15331891299846026]","[5, 0.002989243054380638]","[2, 0.6137944862947218]","[1, 0.07327766976888074]","[5, 0.7141416515305661]","[5, 0.23801366464732718]","[5, 0.4335458388684291]","[3, 0.10620992580860085]","[2, 0.09035554852986057]"
other vocalization,"[1, 1.0]","[1, 1.0]","[2, 0.6476330882953922]","[3, 3.8957530635763086e-05]","[1, 0.12768533793256154]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.001523179224536489]","[1, 0.00010881385741904576]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.037324874525769554]"
robot,"[4, 0.1354451586731854]","[1, 0.022580480230158757]","[1, 1.0]","[2, 9.56209526964741e-08]","[4, 0.0010743877849191186]","[1, 0.46599098654723736]","[2, 0.5105816985628369]","[2, 0.4769494273045424]","[4, 0.05418334481474928]","[2, 0.36004960463194113]","[2, 0.7655223651250513]","[4, 0.028281004532438262]","[1, 0.09644189312684553]","[1, 0.23348110181156012]","[2, 0.0024554208930344995]","[3, 0.12788564056469937]","[5, 0.0655652027547203]","[4, 4.15095250019492e-08]"
parent,"[1, 0.06462568406403486]","[3, 0.0013173261185301574]","[5, 0.002170951001394097]","[1, 1.0]","[1, 0.07430405546219235]","[2, 0.33247266090406763]","[4, 0.7810620396662331]","[5, 0.034908763887301054]","[3, 0.7240396000823817]","[5, 0.4365331567101879]","[1, 0.018609802901966118]","[1, 1.0]","[1, 0.008224657859978383]","[5, 0.004707654144883814]","[1, 0.1981742141252784]","[5, 0.0020684889724751345]","[5, 0.06696630220204527]","[5, 3.8439327756445973e-07]"
props,"[3, 0.006664499120602743]","[2, 1.199514350906227e-06]","[1, 3.305549446217611e-10]","[5, 0.29967300377504735]","[1, 1.0]","[1, 0.589643599211954]","[1, 0.09180890740631438]","[1, 0.1354835426602039]","[3, 0.05176319774619053]","[2, 0.6074746996650777]","[3, 0.11230762933375604]","[5, 0.013073256236102669]","[2, 0.5401385786387001]","[2, 0.46711178937681785]","[2, 0.49745717971206804]","[1, 1.0]","[1, 1.0]","[5, 0.06534628977171762]"
point at prop,"[2, 0.00521217558782698]","[1, 1.0]","[5, 0.031393854652560844]","[3, 0.3579114108781747]","[5, 0.33274791336953186]","[1, 1.0]","[3, 0.9251715710682752]","[4, 0.0017790076524988653]","[2, 0.1585413655380425]","[3, 0.016738633974649093]","[1, 1.0]","[2, 0.06279956911601674]","[3, 0.0008550222792505275]","[4, 0.2054699939343374]","[3, 0.8948155668065261]","[5, 0.1507517842682017]","[5, 0.9981891004532062]","[5, 0.552772649792294]"
other,"[1, 0.23436652414954565]","[1, 1.0]","[4, 0.08813627466674548]","[5, 0.4251380333353735]","[5, 0.09880895422609186]","[4, 0.0014164597935231004]","[1, 1.0]","[4, 6.406887108119398e-07]","[1, 0.04697991197830878]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.00593891226782481]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.19536162891669115]"
missing data,"[4, 0.9974029168262059]","[1, 1.0]","[4, 0.015293797549792515]","[4, 0.01968116557150693]","[1, 0.060483961308318755]","[3, 4.705173554706111e-05]","[1, 1.0]","[1, 1.0]","[4, 0.9820615724070478]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.24570589186832115]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.01142452500157908]"
cognitive,"[1, 0.4192259149235473]","[1, 1.0]","[2, 0.030770218400893327]","[3, 0.9178280979503635]","[1, 2.5855216611497272e-05]","[1, 2.1922084833204066e-06]","[1, 0.04571103996990401]","[3, 0.10772494006414392]","[1, 1.0]","[5, 0.9999925100726417]","[1, 0.15833276027171064]","[5, 0.04393366879390516]","[1, 0.009288388944924718]","[5, 0.011966243576442317]","[3, 0.2992354047945096]","[1, 0.5943754685611298]","[3, 0.005868814884275725]","[1, 0.33826225987519065]"
technical,"[1, 0.3978712436373534]","[1, 1.0]","[4, 0.012641423668905909]","[1, 0.029305964841370206]","[3, 0.46915543254018277]","[4, 9.461348039273176e-06]","[1, 1.0]","[1, 1.0]","[4, 0.7533333922946037]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.007514045491811706]","[3, 0.10650346892200502]","[5, 0.18193601380817673]","[1, 1.0]","[1, 1.0]","[2, 0.37264054133464364]"
