,utterance,other vocalization,robot,parent,props,point at prop,other,missing data,cognitive,technical,affective,instruction translation,child,PC,CP,PCP,CPC,MG,time
utterance,1.0,0.0007428878169603901,0.05560847770720652,0.024518773963739197,0.004922629822713502,0.04438091673679347,0.008605821615073072,0.00748755532607339,0.22133096600802402,0.11861904075352796,0.09652551279047411,0.040990234064786885,0.039691768536908235,0.04150123543111541,0.08988356045476438,0.03845462704801782,0.01798462988171902,0.03647899622469998,1.0
other vocalization,0.035693214882803345,1.0,0.15844243215048004,0.2512804181218494,0.1382013357734023,0.017000698016236587,0.002036011613368606,0.002036011613368606,0.010505655667244727,0.005780986144730922,0.004730130522024218,0.002036011613368606,0.09321511459208749,0.36000666635115874,0.008122414187967327,0.008122414187967327,0.0030657850361956005,0.33052562621692233,1.0
robot,0.04920467326598497,0.0029179269550761123,1.0,0.07253735633434248,0.1362861413462115,0.021958617454902164,0.0007093444367138156,0.0007093444367138156,0.006998967897483227,0.035398580455143804,0.004926325025352218,0.004603644839737663,0.04222199749638855,0.0067810204431566325,0.03241165286666701,0.0006651802757295338,0.0007555238628805991,0.06361793172857781,1.0
parent,0.031235274387205213,0.006662585435150785,0.1044342501724145,1.0,0.011261784006416638,0.004394007193905827,0.0064254344683194005,0.0004310293389412659,0.00012376666531348102,0.0009103643911042568,0.0016211943801807507,0.0059163767081372234,0.011461129555584777,0.042212413564490195,0.06764405424699077,0.06764405424699077,0.021316086231534,0.4330535032344137,1.0
props,0.004119717599359627,0.0024072438100962382,0.12890109835877983,0.007398282089238099,1.0,0.019923482873748736,0.004089054758726048,0.015332578183889788,0.0029011194465475925,0.0699564787827872,0.004454706682855035,0.002910933990978312,0.00790858692427389,0.004667535190871493,0.00722462309143338,0.041382322123053185,0.015541161187702017,0.026780609898981206,1.0
point at prop,0.06605109078735462,0.0005266087220520116,0.03693374719143348,0.005133314980810593,0.03543061719533304,1.0,0.0053047469603950724,0.004874736632341445,0.026596469886286205,0.11981757407457422,0.012332489839706211,0.0053047469603950724,0.004768962109260042,0.0011457736079618186,0.02749370026073436,0.012216742042383407,0.005104390196183389,0.000624332850905523,1.0
other,0.05976978541896216,0.00029431146298438576,0.005567768608300027,0.03503041483214146,0.03393454380419216,0.024755420311237567,1.0,0.0029635172419761715,0.015545526989273868,0.008415346701018527,0.00688543044140925,0.0029635172419761715,0.004123583308780626,0.01370973348659917,0.011824490637770831,0.011824490637770831,0.00446252453125642,0.07282348159313896,1.0
missing data,0.052003120116756174,0.00029431146298438576,0.005567768608300027,0.0023499012591887344,0.12724311037950362,0.022748710756828865,0.0029635172419761715,1.0,0.015294966128487492,0.008415346701018527,0.00688543044140925,0.0029635172419761715,0.03718583195134868,0.01370973348659917,0.011824490637770831,0.011824490637770831,0.00446252453125642,0.00028035331547739004,1.0
cognitive,0.44980996801992595,0.0004443729635036808,0.016075169149069063,0.0001974440315630978,0.007045020119371826,0.03631843848803076,0.004548864369160993,0.0044755463418773974,1.0,0.012714934787559763,0.010401972171250046,0.0044755463418773974,3.144948967195983e-06,0.0021867439750055165,0.013711372455197636,0.013711372455197636,5.180630346605359e-05,4.456535536062546e-05,1.0
technical,0.36838958195092186,0.0003736736122428571,0.12424343004223441,0.002219328645322831,0.25960353699061434,0.2500286230724659,0.0037630118692642805,0.0037630118692642805,0.01943032985725893,1.0,0.008744258259675956,0.0037630118692642805,0.010763385732055965,0.002630789433110528,0.011879261078372805,0.015019514647335008,0.005666736343254236,0.021870622498552955,1.0
affective,0.34807823380178704,0.0003550139702690164,0.020076706271508815,0.0045890550057118675,0.01919480012913053,0.02988145842010704,0.003575003632020331,0.003575003632020331,0.01845710321272085,0.010153243291669244,1.0,0.003575003632020331,0.0735535286137361,0.005921752194854267,0.01426775759942177,0.008409875349138238,0.0053835289230258964,7.639109746718968e-06,1.0
instruction translation,0.28468838931476864,0.00029431146298438576,0.036134813915222906,0.03225511541844027,0.024157469844874692,0.024755420311237567,0.0029635172419761715,0.0029635172419761715,0.015294966128487492,0.008415346701018527,0.00688543044140925,1.0,0.07266759104156646,0.01370973348659917,0.011824490637770831,0.011824490637770831,0.00446252453125642,0.017214601933606622,1.0
child,0.031188750307901403,0.0015244789457976183,0.03749479237806837,0.007069331864193298,0.0074255076085406714,0.002517895316451752,0.000466533612953389,0.0042071274500506475,1.215973835066001e-06,0.0027232875196006945,0.016027518484266482,0.008221459651622562,1.0,0.009878208643217546,0.0025249409014188903,0.0037613119464617517,6.470650766154361e-05,0.09099562290983167,1.0
PC,0.09090876319676255,0.016413183935278332,0.016787051847798967,0.07258357133196003,0.012216929190558092,0.0016863969698506663,0.004323986997323253,0.004323986997323253,0.002356979291431978,0.001855572299651746,0.0035971637202473965,0.004323986997323253,0.027537556141173057,1.0,0.08162027424265014,0.4124811096034142,0.261457657673884,0.07571789155134503,1.0
CP,0.21834304835125637,0.00041065943322259084,0.08898051908722959,0.12898587547743254,0.02097027030665804,0.044875424559694954,0.004135730081082731,0.004135730081082731,0.016389025626303084,0.0092917089367639,0.009611254455120117,0.004135730081082731,0.007805716900358494,0.09051330596402432,1.0,0.3201303288409164,0.13707639199960056,0.13036338593020186,1.0
PCP,0.09341308299753528,0.00041065943322259084,0.0018261360031370385,0.12898587547743254,0.12011678254421469,0.01994025833878742,0.004135730081082731,0.004135730081082731,0.016389025626303084,0.011747949435051152,0.005665182587604763,0.004135730081082731,0.011627890463304745,0.4574234676903919,0.3201303288409164,1.0,0.3078817396160025,0.1473165195055056,1.0
CPC,0.09041099020147399,0.0003207738752870247,0.004292423472602731,0.08411638772762785,0.09335399708826846,0.017241691167876487,0.0032300629079094617,0.0032300629079094617,0.00012814906164810015,0.00917275503724215,0.007505022916154312,0.0032300629079094617,0.0004139712287920649,0.6000346956956712,0.2836764503414475,0.6371542009908745,1.0,0.11117592064666226,1.0
MG,0.06847603225037914,0.012913334906824074,0.13496150358811582,0.6381028569077775,0.06006837775562523,0.0007874593972434232,0.019682388022950612,7.577257524678633e-05,4.116292106907008e-05,0.013219161867038854,3.97652492055522e-06,0.004652681628308556,0.21737955088813546,0.06488577499987211,0.10073774803781498,0.11383820938571795,0.04151324873335884,1.0,1.0
time,0.08387271654588449,0.0017456544472641586,0.09478843733139665,0.065837621697208,0.10021908682404461,0.056355587850855246,0.012076229350766092,0.012076229350766092,0.041269937739564395,0.027006467255066884,0.02325872803161761,0.012076229350766092,0.10673901386993197,0.03828917293797179,0.0345272196439679,0.0345272196439679,0.01668403101094979,0.04468121778793204,1.0
