,total time,count,normalized total time,normalized count
Child gaze,296.598,85,0.897302628,0.257151847
Child gesture,12.137,6,0.036718258,0.018151895
Child prop manipulation,69.271,18,0.209566654,0.054455685
Child utterance,12.819,13,0.038781524,0.039329106
Conversational turns,63.245,14,0.1913361,0.042354422
Joint attention,135.66,42,0.410414347,0.127063265
Mutual gaze,20.98,14,0.063471126,0.042354422
Parent gaze,280.454,59,0.848461929,0.178493635
Parent gesture,22.229,13,0.067249746,0.039329106
Parent prop manipulation,6.819,2,0.020629629,0.006050632
Parent utterance,45.457,39,0.137521782,0.117987318
Verbal scaffolding,38.319,33,0.115927078,0.099835423
robot pointing,40.709,19,0.123157583,0.057481001
robot text,199.743,57,0.604285662,0.172443003
start-end,0.408,2,0.001234329,0.006050632
CP,16.623,5,0.050289825,0.015126579
CPC,7.295,1,0.022069679,0.003025316
MG,20.98,14,0.063471126,0.042354422
PC,20.145,5,0.060944988,0.015126579
PCP,19.182,3,0.058031608,0.009075948
affective,8.001,7,0.024205552,0.021177211
child,160.997,39,0.487066775,0.117987318
cognitive,16.954,16,0.051291205,0.048405053
end,0.181,1,0.000547582,0.003025316
instruction translation,3.501,3,0.010591631,0.009075948
missing data,4.137,2,0.012515732,0.006050632
other,23.903,13,0.072314125,0.039329106
other vocalization,0.364,1,0.001101215,0.003025316
parent,41.007,20,0.124059127,0.060506317
pick up,28.082,11,0.08495692,0.033278474
point at prop,71.666,35,0.216812285,0.105886055
positive feedback,30.087,11,0.091022678,0.033278474
props,185.08,63,0.559925456,0.190594898
put down,11.833,5,0.035798562,0.015126579
robot,401.718,84,1.21532383,0.254126531
song,67,1,0.202696161,0.003025316
start,0.227,1,0.000686747,0.003025316
teach,33.998,15,0.102854688,0.045379738
technical,9.863,7,0.02983869,0.021177211
try again,8.249,4,0.02495583,0.012101263
utterance,53.775,49,0.162686359,0.148240476
Child gaze:parent,34.188,18,0.103429498,0.054455685
Child gaze:props,87.865,30,0.265819377,0.090759475
Child gaze:robot,174.545,37,0.528053754,0.111936686
Child gesture:other,2.773,2,0.008389201,0.006050632
Child gesture:point at prop,9.364,4,0.028329058,0.012101263
Child prop manipulation:child,69.271,18,0.209566654,0.054455685
Child utterance:other vocalization,0.364,1,0.001101215,0.003025316
Child utterance:utterance,12.455,12,0.037680309,0.03630379
Conversational turns:CP,16.623,5,0.050289825,0.015126579
Conversational turns:CPC,7.295,1,0.022069679,0.003025316
Conversational turns:PC,20.145,5,0.060944988,0.015126579
Conversational turns:PCP,19.182,3,0.058031608,0.009075948
Joint attention:props,40.031,18,0.121106419,0.054455685
Joint attention:robot,95.629,24,0.289307929,0.07260758
Mutual gaze:MG,20.98,14,0.063471126,0.042354422
Parent gaze:child,91.726,21,0.277500121,0.063531633
Parent gaze:props,57.184,15,0.172999661,0.045379738
Parent gaze:robot,131.544,23,0.397962147,0.069582264
Parent gesture:other,0.636,1,0.001924101,0.003025316
Parent gesture:point at prop,21.593,12,0.065325645,0.03630379
Parent prop manipulation:parent,6.819,2,0.020629629,0.006050632
Parent utterance:missing data,4.137,2,0.012515732,0.006050632
Parent utterance:utterance,41.32,37,0.125006051,0.111936686
Verbal scaffolding:affective,8.001,7,0.024205552,0.021177211
Verbal scaffolding:cognitive,16.954,16,0.051291205,0.048405053
Verbal scaffolding:instruction translation,3.501,3,0.010591631,0.009075948
Verbal scaffolding:technical,9.863,7,0.02983869,0.021177211
robot pointing:point at prop,40.709,19,0.123157583,0.057481001
robot text:other,20.494,10,0.062000823,0.030253158
robot text:pick up,28.082,11,0.08495692,0.033278474
robot text:positive feedback,30.087,11,0.091022678,0.033278474
robot text:put down,11.833,5,0.035798562,0.015126579
robot text:song,67,1,0.202696161,0.003025316
robot text:teach,33.998,15,0.102854688,0.045379738
robot text:try again,8.249,4,0.02495583,0.012101263
start-end:end,0.181,1,0.000547582,0.003025316
start-end:start,0.227,1,0.000686747,0.003025316
