,col base,action base,col count,action count,hist,bins
0,action,Child gaze,action,Child gesture,[1 1 0 1 0 1 0],[-3 -2 -1  0  1  2  3  4]
1,action,Child gaze,action,Child prop manipulation,[ 9  9  7  2  4  6 10],[-3 -2 -1  0  1  2  3  4]
2,action,Child gaze,action,Child utterance,[4 5 2 7 2 1 3],[-3 -2 -1  0  1  2  3  4]
3,action,Child gaze,action,Conversational turns,[5 3 3 3 4 0 3],[-3 -2 -1  0  1  2  3  4]
4,action,Child gaze,action,Joint attention,[15 15  9 33 18 13 16],[-3 -2 -1  0  1  2  3  4]
5,action,Child gaze,action,Mutual gaze,[ 5  6  3 14  2  5  2],[-3 -2 -1  0  1  2  3  4]
6,action,Child gaze,action,Parent gaze,[16 23 29 21 23 21 23],[-3 -2 -1  0  1  2  3  4]
7,action,Child gaze,action,Parent gesture,[6 7 7 6 5 4 8],[-3 -2 -1  0  1  2  3  4]
8,action,Child gaze,action,Parent prop manipulation,[0 0 0 1 2 1 0],[-3 -2 -1  0  1  2  3  4]
9,action,Child gaze,action,Parent utterance,[10 16 12 11 11 17 13],[-3 -2 -1  0  1  2  3  4]
10,action,Child gaze,action,Verbal scaffolding,[ 9 12 10  8  9 16 11],[-3 -2 -1  0  1  2  3  4]
11,action,Child gaze,sub_action,CP,[2 1 1 2 2 0 2],[-3 -2 -1  0  1  2  3  4]
12,action,Child gaze,sub_action,CPC,[1 0 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
13,action,Child gaze,sub_action,MG,[ 5  6  3 14  2  5  2],[-3 -2 -1  0  1  2  3  4]
14,action,Child gaze,sub_action,PC,[1 1 1 0 1 0 1],[-3 -2 -1  0  1  2  3  4]
15,action,Child gaze,sub_action,PCP,[1 1 1 0 1 0 0],[-3 -2 -1  0  1  2  3  4]
16,action,Child gaze,sub_action,affective,[2 2 4 1 0 3 1],[-3 -2 -1  0  1  2  3  4]
17,action,Child gaze,sub_action,child,[14 17 17 10 10 15 14],[-3 -2 -1  0  1  2  3  4]
18,action,Child gaze,sub_action,cognitive,[2 7 3 5 7 9 7],[-3 -2 -1  0  1  2  3  4]
19,action,Child gaze,sub_action,instruction translation,[0 1 1 0 0 1 0],[-3 -2 -1  0  1  2  3  4]
20,action,Child gaze,sub_action,missing data,[1 2 1 2 1 1 1],[-3 -2 -1  0  1  2  3  4]
21,action,Child gaze,sub_action,other,[0 3 1 1 1 2 0],[-3 -2 -1  0  1  2  3  4]
22,action,Child gaze,sub_action,other vocalization,[0 2 0 1 0 0 0],[-3 -2 -1  0  1  2  3  4]
23,action,Child gaze,sub_action,parent,[ 6 11  3 20  6  8  6],[-3 -2 -1  0  1  2  3  4]
24,action,Child gaze,sub_action,point at prop,[7 5 6 6 4 3 8],[-3 -2 -1  0  1  2  3  4]
