,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.36
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3.86
2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.359999999999999
3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4.859999999999999
4,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,5.359999999999999
5,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,5.859999999999999
6,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6.359999999999999
7,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,6.859999999999999
8,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,7.359999999999999
9,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,7.859999999999999
10,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,8.36
11,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,8.86
12,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,9.36
13,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,9.86
14,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,10.36
15,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,10.86
16,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11.36
17,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,11.86
18,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,12.36
19,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,12.86
20,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,13.36
21,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,13.86
22,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,14.36
23,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,14.86
24,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,15.36
25,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,15.86
26,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,16.36
27,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,16.86
28,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,17.36
29,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,17.86
30,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,18.36
31,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,18.86
32,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,19.36
33,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,19.86
34,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,20.36
35,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,20.86
36,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,21.36
37,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,21.86
38,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,22.36
39,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,22.86
40,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,23.36
41,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,23.86
42,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,24.36
43,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,24.86
44,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,25.36
45,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,25.86
46,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,26.36
47,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,26.86
48,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,27.36
49,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,27.86
50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,28.36
51,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,28.86
52,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,29.36
53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,29.86
54,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,30.36
55,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,30.86
56,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,31.36
57,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,31.86
58,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,32.36
59,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,32.86
60,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,33.36
61,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,33.86
