,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
Child utterance,1.0,0.0033027392315200465,0.05841845934626545,0.01191014423019566,0.0005027968681142192,0.012951959541267925,0.013251926013766893,0.0009334801850766886,0.0021860596087583685,0.005927936221972982,9.589655398547454e-05,0.0014516302202072495,0.0003465513891629645,0.0004802107465306237,0.007379353268667404,0.012395140388644251,0.0015622509321802926,0.21435826197830543,0.00033916719543001633,0.007411046083661842,1.0
Child gaze,0.004388538131237683,1.0,0.03917511479041532,0.0019770183461115492,0.0012183707887673486,0.005944612796811773,0.008590405025008966,0.004698231343649253,0.008190259621205048,0.003144905367767146,0.006306384223960069,0.017653894199673486,0.04342852188283822,0.0009679987191566992,0.007084336007156814,0.00038826799925640275,0.008015811789684985,0.021044172715236287,0.19953818339060875,0.010019791721055014,1.0
Child affect,0.049078078367274625,0.024768638647276218,1.0,0.002698191286601279,0.007939076822163292,0.0032979490695602574,0.009204528780468188,0.010429539583122947,4.8351419457489005e-05,0.052658193265720035,0.0009748423021952972,0.039399273318623675,0.037033280098976155,0.0003773746440134411,0.0015893106162746242,0.007904466937198864,0.0017966768601007006,0.023597500193659887,0.000658623485714277,5.5851354243921656e-05,1.0
Child gesture,0.12345324058956741,0.01542235096663952,0.03329053377740123,1.0,0.02169843333404809,0.005212164876157906,0.01596539352952645,0.024724533526989625,0.21175414370392215,0.0990657427666203,0.003364479700195756,0.14903515082084837,0.02310371476737432,0.0039020366248613838,0.017358123668932048,0.018254157948689873,0.0007026368054623559,0.11515513938394023,0.10458651827641614,0.005344136882217557,1.0
Child affective touch,0.0005381765438469342,0.0009814452748935956,0.010114973641889525,0.002240655587257848,1.0,0.028596790226380647,0.016773487921130287,0.0005230353121482807,0.00018896907635552624,0.002620030007177371,0.0071483747347066105,0.15319121318827025,0.049290863850477144,0.002699738932478711,0.0003228025552540305,0.03250344625989364,0.001492074450438989,0.04909182413407191,0.007199255063973885,0.11942103390719354,1.0
Parent utterance,0.007792921027248315,0.002691799927546558,0.0023619532101306195,0.0003025502162148521,0.016074959378419636,1.0,0.605380010466239,0.00957627527545083,0.004984969897323188,0.0007353903518583864,0.004112281253833551,0.009251690942458863,0.004230793130946562,7.947386914831693e-05,0.006549867311520272,0.03849326210629516,0.00302901975839708,0.12131044400670689,0.02398664242126232,0.015630860881857073,1.0
Verbal scaffolding,0.008758594811748602,0.004272907415544189,0.007241350059557672,0.0010180042409480762,0.010357301335941576,0.6649955108352371,1.0,0.0025871553240341258,0.0020293358293994217,0.00020058161425683073,0.00846901342228098,0.005969688501440999,0.00984117306812127,6.954792123562029e-05,0.00212524357829905,0.027452630193032075,0.00242000324867239,0.07505128045085079,0.00851388028494524,0.008968770642384463,1.0
Non-verbal scaffolding,0.0009244691364141168,0.0035016772932476865,0.012294616861164153,0.002362272237731169,0.00048393398520319125,0.015762283652967318,0.003876630275021417,1.0,0.002248395388162956,0.0004012661539472929,0.027135273613022162,0.0570402867274615,0.007683820778110371,0.11877804592389717,0.0036915365397676035,0.011452989876667971,0.0015730433062026677,0.0050895827344761635,0.016439003173251622,0.011977105661285114,1.0
Parent gaze,0.008497607715420779,0.02395999681656994,0.0002237208476537029,0.07941108361709782,0.0006862671602943483,0.03220567622216665,0.011935295297835328,0.008825108451855154,1.0,0.04310385303635715,0.0034290038344426945,0.005223782589325358,0.0291142137529984,0.004914878269005602,0.021870763449939122,0.002091202740355717,0.052409809165657406,0.01743017896181135,0.13211845839758043,0.006731527193925153,1.0
Parent affect,0.0034337553634405456,0.0013709695819926735,0.036307331620034904,0.005536099087831956,0.001417881356680618,0.0007079766918702697,0.00017579297561194664,0.0002346988948393887,0.006423137857290457,1.0,0.007210332155011873,0.0014046726111064402,0.0027080662561785695,0.001387183810721145,0.0027777296271393236,0.0017144910007156353,0.0049316928991661926,0.0030710605711470815,0.01935255699481536,2.5960349781275754e-05,1.0
Parent gesture,0.0003882331833979368,0.019214296493350512,0.004697713944438445,0.0013140808622163899,0.027037389747406698,0.027669904852818394,0.05187606669605892,0.11092681509117756,0.0035712721265599274,0.050394030573364654,1.0,0.00947614000534565,0.0006041185461470781,0.017050789687807148,0.003443890998754714,0.009039323831170804,0.0008751137012086566,0.00735862537558384,0.009948951030088993,0.006656631115212561,1.0
Parent affective touch,0.0008560146160561467,0.007834659164019027,0.027655145043502912,0.00847868336733861,0.08439696579911461,0.009067373382414782,0.005326248396737624,0.0339640573984421,0.0007924567964483406,0.0014299948237904384,0.0013802793671756203,1.0,0.024345270611760766,0.01246254993901267,0.002857152199451833,0.0007810571228584831,0.0032859681452201746,0.0033874576705429853,0.0055697002446163804,0.04330080159182192,1.0
Child prop manipulation,0.00035720280572099864,0.03368811217659829,0.045436194173188754,0.002297436719117892,0.047465869993651114,0.007247766810929177,0.015347535754213708,0.00799718478212283,0.007720005419431649,0.004818819674018165,0.0001538082865792969,0.042553633071001566,1.0,0.008501850983638018,0.03793326955039208,0.015511328343802292,0.0015298779714766483,0.04009576633424164,0.051955134107371105,0.011647552927295066,1.0
Parent prop manipulation,0.0017314143006575086,0.002626626473269225,0.0016195874070897799,0.0013572973249939067,0.00909407838914752,0.0004762430888882545,0.00037940045380092415,0.4324321635724918,0.004558765078508003,0.008634502285884506,0.015185320805811671,0.07619927824429511,0.029739618742545635,1.0,0.02234010773017563,0.0001378890121824811,0.0009038921665733778,0.0036249505643759588,0.0026095705474573354,0.006875697721633989,1.0
robot pointing,0.009080094120213529,0.006560328838090319,0.0023277877721406743,0.0020605793968483848,0.0003710879148364587,0.013394908602289465,0.003956628984707084,0.004586610987124721,0.006923111298594222,0.0059006002222905035,0.0010467230649064507,0.005961839018104825,0.0452840340514104,0.007624093017004866,1.0,0.10771664747930249,0.0013721807346032569,0.07990253568397951,0.009429887476997696,0.01044414722848274,1.0
robot text,0.007434404149048149,0.0001752591589968469,0.005643257315668865,0.0010562605187433012,0.018213437744082052,0.03837201780891691,0.024912840258533017,0.006936274635075029,0.00032266820822246024,0.001775268708304425,0.0013391863371497597,0.0007944239607647715,0.00902602412949218,2.293798431596818e-05,0.05250558433282436,1.0,0.0018000394812986247,0.040892265510704046,0.005982330526753441,0.021397274011986357,1.0
start-end,0.022762089074184994,0.0878948130038748,0.031159741776891865,0.0009876583678023127,0.020310453392912563,0.07334974971206258,0.05334845444088398,0.023142735508656434,0.19644420685361105,0.12404850155977426,0.003149460440326943,0.08118943062196847,0.02162573614898625,0.0036526564216103428,0.016248025611872823,0.04372689507106574,1.0,0.10741683801505324,0.09786236756363294,0.005002567978449667,1.0
Conversational turns,0.12326035233477944,0.00910687644024441,0.016151457743753282,0.006388237139704405,0.026373037113103483,0.11593553592620379,0.06529589075141988,0.0029551398820256616,0.0025784003144131576,0.0030486371081706503,0.0010451779036209899,0.0033031772243928676,0.022368377251166385,0.0005781175326128246,0.03733977449750186,0.03920393253423903,0.0042393006307773875,1.0,0.0024608936944504724,0.0325471095260021,1.0
Joint attention,0.00019561623116822583,0.08661068434724035,0.00045215861475755826,0.005819441125137352,0.0038792378282686345,0.02299300384912813,0.007429561007568941,0.009573686749687352,0.019602879316512823,0.019269195098204895,0.001417355157903482,0.0054475056620582165,0.029071825277108818,0.00041743702224400703,0.004420032971325296,0.005752633882641271,0.003873873540268376,0.0024683157981553417,1.0,0.029629252611398194,1.0
Mutual gaze,0.02098496103426025,0.021352157111461552,0.00018824563335034274,0.0014598920818503168,0.31592011487440785,0.07356085273706171,0.03842431537921952,0.034244688580705895,0.004903515805274264,0.00012690343121340595,0.004655791168624095,0.20792150505081577,0.031997505949336896,0.005399782950349121,0.024034195529133374,0.10101651580760809,0.0009722105423493945,0.16027209025781944,0.1454649301991887,1.0,1.0
time,0.05817583129093726,0.043782142158731975,0.06924766715134878,0.005612509951765065,0.0543513575748135,0.09668916321944399,0.08802117561401315,0.05874288672429016,0.014966075070783574,0.10043307721473543,0.014369873531230223,0.09865461781094638,0.056441088442434464,0.01613516728126159,0.047279246790905144,0.09699467255484066,0.003992834153684946,0.10117178677859202,0.10086756821222542,0.020545368940575827,1.0
