,Child utterance:utterance,Child utterance:not sure,Child utterance:other vocalization,Child gaze:robot,Child gaze:props,Child gaze:robot or prop,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Parent utterance:utterance utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG,time
Child utterance:utterance,1.0,0.0007451918217846409,0.004119590420154301,0.0009616386841488936,0.0018518338170707502,0.0014498543472942329,0.005603946308227793,0.023470008271317348,0.024324595582443778,0.013885905195272077,0.0017288644487281775,0.007753488358381559,7.304783721275303e-05,0.0011184213051543825,0.005643410597983345,0.004874177750139309,0.0018801641173251133,0.00014758568836870643,0.0010404618146813112,0.0004559428436560087,0.00018877227861228038,0.001214877037124321,2.2410384173619483e-07,0.004922807413236506,0.006027868216019212,0.0011692922879114954,0.0023448748480063325,0.00029377245005859324,0.0012896121628687154,0.0001515431523828524,0.000924158456385588,0.0055751810148917166,0.00035167736534418383,0.03449767789790809,0.0014388219139584563,7.816443271306204e-05,0.0018121339089011339,0.002111072738063466,1.5775141896119414e-05,0.00030131810149619905,0.0007451918217846409,0.0007451918217846409,0.13594079280801222,0.2921277165283269,0.09522163527958095,0.07311136858080436,6.311342832427487e-05,8.890625967384433e-06,0.009798964991056144,1.0
Child utterance:not sure,0.018319611043304335,1.0,0.0016376979818063556,0.1022819279318891,0.05430478706239868,0.013836108916775424,0.005740812887225467,0.019335788832235825,0.007603824743515447,0.0008909093793649733,0.018319611043304335,0.06308968053641673,0.001488020607957044,0.00044474461139027625,0.03921275924507439,0.0019375346103788589,0.004818540112630091,0.0029920589805546454,0.015645389157352925,0.0016376979818063556,0.06332235984221751,0.15878138261450814,0.04359192798888989,0.010925090623449506,0.034208339893666534,0.17131679156760432,0.006359060881201326,0.0028409244972645185,0.07321204296915945,0.0195058726398427,0.0032948192644476006,0.014655605845251538,0.00497183010906893,0.013672784730661983,0.012211394974848506,0.014327230074846615,0.012696828552217564,0.05001963901042276,0.005895118610779341,0.006049594932335274,0.0002963390592308076,0.0002963390592308076,0.05739517258396669,0.16157596135492508,0.0714732341072655,0.16347055712066766,0.18453310444231402,0.03345409327667798,0.004512463719588348,1.0
Child utterance:other vocalization,0.024192249288097253,0.0003912081147602993,1.0,0.00524533015914274,0.0007332886344655947,1.1767355227688931e-05,0.007579379691551923,0.03300699552289277,0.01958748082500807,0.001176134385512431,0.024192249288097253,0.036588292805987604,0.0019644313353103845,0.0005871252572712126,0.014502935179334549,0.002557883531705069,0.006361633936673937,0.003950112162739871,0.0047911596997271735,0.002162035640266877,0.0034912425799355235,0.0007332886344655947,0.004090609521792828,0.014425327618166754,0.0016106287473815078,0.02543295519251803,0.008395721335150926,0.0037505747259778946,0.007174400512958444,0.0013906319001225419,0.004349838898574149,0.019352367158166628,0.006564031406890303,0.018054248787858457,0.016124122516549568,4.4786530637121674e-05,0.01676524567834005,0.02847736472146606,0.0043746052739696865,0.007987096726434193,0.0003912081147602993,0.0003912081147602993,0.09136299569087616,0.020953123069193474,0.000517333706482325,0.2167451352876008,0.004090609521792828,0.011082061216214759,0.005957507236384005,1.0
Child gaze:robot,0.0005171215037388712,0.0022373370217728767,0.00048032068734866427,1.0,0.27747100351213133,0.09588711295068095,0.02728791328765276,0.03300114933578237,0.006473011404977863,0.006049237731306014,0.0029424486874622007,0.023956065757834915,0.005229776967318874,0.0033586320404162765,0.018488020610407396,0.014669270484094795,0.014581888613395603,0.005337260645305897,0.005678019963358438,0.002120550403740624,0.003424287359548929,0.08018041126244733,0.008660196849402732,0.027605753623662185,0.017614036783033596,0.0005345747178950216,0.023313464036275804,0.002958866140677225,0.0015156785594107516,0.04535636400409485,0.0018874413085552763,0.0290830435155441,0.03784217393482479,0.02026111696505368,0.030247965475009006,1.824493701451025e-05,0.002973628510316428,0.01309893452410445,0.0027927767509369544,0.0026503231378138883,0.0022373370217728767,0.0020103561209925008,0.0028944219510465825,0.0001818878277515298,0.013890347986990594,0.00031377644370214467,0.2061636694003317,0.16816826726052211,0.024127654327431927,1.0
Child gaze:props,0.0010977975730425517,0.001309514169925023,7.40240768359143e-05,0.30588430119411725,1.0,0.04278459789615679,0.018847635642730436,0.029566801442838495,0.01808037281677324,0.011532273952576316,0.04079658640335694,0.01971470684524384,0.01251194183069129,0.0019655450088768866,0.035109093376749057,0.008573094881372404,0.0016332590628223445,0.010330846332559398,0.003018300579296268,0.007244658726491256,0.04225773395534655,0.03299772759083123,0.08857461117852708,0.012598401985072075,0.026840499820019483,0.00012949881287523164,0.0018526090172810864,0.011831904868280771,0.02357733605689458,0.15223609634726265,0.00145298375268523,0.03404370567311769,0.022053100341662808,0.06109345576529416,0.01941683947466094,0.0018511522292501024,0.00013421632543624194,0.016105526467191406,0.01039969081287356,1.7601556023441853e-06,0.001309514169925023,0.001309514169925023,0.007006411433324457,0.00015570422549703546,0.012669612444246298,0.00022247144121417294,0.14973544880278938,0.3619533064972734,0.013802065681682199,1.0
Child gaze:robot or prop,0.001729824380471257,0.0006714960189444153,2.3907507088643247e-06,0.21274394551381545,0.08610826481637364,1.0,0.013021407173712233,0.0011194506251619607,0.020967827757092137,0.0020189912467405233,0.026912503585635506,8.398654448526242e-06,0.0033725356973674544,0.001007805669810046,0.004010230432394868,0.0043916966573999995,1.217996441525009e-07,0.006783222341633704,0.004184558354549432,0.004942915846578393,0.0871401253994948,0.0231489635276346,0.049329450650198156,0.00487194503242502,0.005197717900462431,0.0001426423304045476,0.00385536441306897,0.006440412215399594,0.02114204622225077,0.04436025046898167,0.000711174399442959,0.02182331233013974,0.011275591307210335,0.03105921697753886,0.010886670582055053,0.03254996613269919,0.06166012980187936,0.004388448345150426,5.5440128783986e-05,2.7634405859552197e-05,0.0006714960189444153,0.0006714960189444153,0.009149713898013502,0.0008255235267594218,0.003537491255472282,0.002691265997763657,0.00014612091382012798,0.0011179937139386585,0.010232933716913114,1.0
Child gaze:parent,0.012375730204859096,0.0005157058889798608,0.002850285225664609,0.1120641036142667,0.07021234679618879,0.024102225643290832,1.0,0.0008661851722293825,0.002117308511887571,0.0015504758402310474,0.3736330088051722,0.08285328374333517,0.0025897558925838606,0.0007739776952459253,0.003239397792074741,0.003372199423639323,0.12565030970218527,0.005207948172582909,0.027257702098276552,0.002850285225664609,0.09418168432605513,0.011844693831194826,0.07612091894722102,0.01902713102908289,0.0596870212801901,0.013044583770944963,0.03409782156958092,0.004944831472625131,0.22145766417443855,0.03399362328907295,0.005735054199924317,0.025531358466592435,0.008655151670618345,0.023817424105969213,0.021269403448558117,0.0015146104581959983,0.02211572185854925,0.03758504165066063,0.01026313465444122,0.010532189233110409,0.0005157058889798608,0.0005157058889798608,0.0374757186316618,0.029849592337412162,0.1938511533391547,0.07313123912153782,0.05307712664528089,0.05836732079125853,0.7120614497679574,1.0
Child affect:positive 1,0.022719424433483074,0.0007613735897971195,0.005440863958083829,0.05940629609071441,0.04828010115708288,0.0009082625065800178,0.00037968020892523017,1.0,0.01957348620061413,0.002289330616656451,0.019971517130045132,0.00029334513431061756,0.0038242872384798704,0.0011427101302331965,9.650895532468647e-05,0.00498013697496191,0.012394595896443171,0.003000744737887335,0.00015923997593676113,0.004209127623290161,0.003163638409565949,0.0010885863138538605,0.0009049355118078032,0.002491455631517461,0.04338310199523532,0.00027498648526856195,0.016363862261693594,0.0001424442144008816,0.05862285318239917,0.026115455394429776,1.4315776572599736e-05,0.00019095019968518278,2.647975806527964e-05,6.175004829019165e-05,6.721892716613844e-06,0.0005418159730265257,0.0023244657271280036,0.006602939117839924,3.997366376483481e-07,0.008721704802632402,0.0007613735897971195,0.0007613735897971195,0.03417369119074236,0.010509049922685823,0.019457419693495643,0.05056471864339598,0.008053535330030432,0.01748027130108307,0.0004976146654451275,1.0
Child affect:positive 2,0.043758196090160524,0.0005564135679137199,0.0060002612034365695,0.021654067275562693,0.05486569783435713,0.03161473772633103,0.0017247297622446803,0.0363745712867312,1.0,0.0016728884773824775,0.005881111598263027,0.006493852226762044,0.002794262671657761,0.0008350753284399141,0.04185673891055694,0.0036385344380203107,0.00014752880056497384,0.005619417432458283,0.06303580401134751,0.003075376783245711,0.0032864456511572616,0.04415563790399722,0.06194291388225646,0.02053457719000889,0.07597466195551913,0.0007767576602340281,0.007479474831154389,0.005335492302591948,0.0005895423502072394,0.036695189047447785,0.00618821582678992,0.00665745872392119,0.006142533505790882,0.025706238172086632,0.004043828683971373,0.026938463185395525,0.011799628241731256,0.0006021405700183132,0.01107481244808153,0.0020275759433765147,0.0005564135679137199,0.0005564135679137199,0.011846789501129907,0.012328308531132258,0.007923790839530214,0.007107141320679799,0.05853296112095076,0.04432238337051107,0.008476155162931532,1.0
Child gesture:point at prop,0.13447063880587562,0.00035094465692683656,0.0019394920775310336,0.10893645851177919,0.18838571470549115,0.01638740056551024,0.006798943124447657,0.0229022265457784,0.00900547200219995,1.0,0.02169843333404809,0.0064897270208356395,0.0017622302135979213,0.0005266970957838342,0.025183737506265957,0.002294587724577271,0.00570663853468076,0.0035434709606411104,0.018530574985152936,0.0019394920775310336,0.07503281179090789,0.011306506244281471,0.05164347192587642,0.012939304139394113,0.04052321024537615,0.20330295453013383,0.007531181345959332,0.003364479700195756,0.14903515082084837,0.02310371476737432,0.0039020366248613838,0.017358123668932048,0.005888188237799155,0.01619393889193371,0.014462908938294255,0.252244850121593,0.015037904900459437,0.02554094852216678,0.006981698479380121,0.007164656334859874,0.00035094465692683656,0.00035094465692683656,0.18087878264552168,0.19171047975557068,0.15208901880287054,0.19396477566068956,0.05164347192587642,0.03962946112655223,0.005344136882217557,1.0
