,Child utterance:utterance,Child utterance:not sure,Child utterance:other vocalization,Child gaze:robot,Child gaze:props,Child gaze:robot or prop,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child gesture:point at prop,Child affective touch:affective touch,Parent utterance:utterance,Parent utterance:missing data,Parent utterance:utterance utterance,Verbal scaffolding:cognitive,Verbal scaffolding:instruction translation,Verbal scaffolding:affective,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:affective,Non-verbal scaffolding:technical,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent gaze:robot or prop,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,start-end:start,start-end:end,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Child utterance:utterance,"[1, 1.0]","[1, 1.0]","[1, 0.23860666039105957]","[5, 0.11544300066144723]","[1, 0.2266097051072632]","[4, 0.7239742318943998]","[2, 0.14620557335062648]","[4, 0.2960564133441582]","[5, 0.006361175616055133]","[4, 0.04421225516092734]","[1, 0.3191000430830556]","[1, 3.5728149224646206e-08]","[4, 0.0709251640423563]","[1, 1.0]","[1, 7.1642895518275114e-06]","[5, 0.9999654282458297]","[1, 0.04595878230666749]","[1, 0.2817816922094003]","[2, 0.03511265051600659]","[5, 0.0010018002042667745]","[2, 0.8322691588005161]","[4, 0.5317724401703183]","[1, 0.3798909443461769]","[5, 0.4101985840481743]","[5, 0.02311836351137561]","[1, 0.2717656845003651]","[1, 0.23826068651773014]","[3, 0.7847945184095763]","[1, 0.6415031890267264]","[2, 0.45875373813583653]","[1, 0.04595878230667289]","[3, 0.998475390119184]","[1, 0.04607356153365585]","[5, 0.9955619675401816]","[1, 0.3798909443461159]","[2, 0.8048636669980015]","[5, 0.12851592999931]","[5, 0.00332669306865821]","[5, 0.8633536658825579]","[1, 0.07856502316317893]","[1, 1.0]","[1, 1.0]","[4, 7.709554601724037e-05]","[4, 2.2121509763613893e-05]","[5, 0.12939148957274596]","[2, 0.951633459802436]","[4, 0.07182576482518223]","[5, 0.3910462287867187]","[3, 0.7019360716456347]"
Child utterance:not sure,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.9638257531583065]","[1, 1.0]","[1, 1.0]","[4, 0.9206819302963086]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0037630535395134896]","[4, 0.005403045308766536]","[1, 1.0]","[1, 1.0]","[5, 5.749466572664451e-07]","[2, 0.0008393553779782743]","[1, 1.0]","[1, 1.0]","[4, 0.8713924519979419]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.9829576590838173e-07]","[1, 0.0003912900416327902]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.6918375227483542]","[2, 0.2167044621631228]","[4, 0.5262954621089968]","[2, 0.00022247089237232372]","[4, 0.007259247637700962]","[1, 1.0]","[1, 1.0]"
Child utterance:other vocalization,"[2, 0.8761971529448708]","[1, 1.0]","[1, 1.0]","[3, 0.44040639978234186]","[1, 0.11470818855600212]","[1, 0.009196964642027655]","[2, 0.07660515482832199]","[3, 0.019269437231438997]","[2, 0.0013540131997793606]","[1, 1.0]","[3, 0.00575517251094629]","[1, 0.4075904247519515]","[1, 1.0]","[1, 1.0]","[1, 0.29362530803440046]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 5.665336497664894e-07]","[4, 0.92477972798648]","[1, 0.21336189165558941]","[4, 0.9870436133121727]","[1, 0.02171900259985374]","[1, 1.0]","[3, 0.17951178376200333]","[4, 0.2527231330213302]","[1, 1.0]","[1, 1.0]","[4, 0.04844200852755049]","[4, 0.01574585234886194]","[4, 0.985629529403061]","[1, 1.0]","[5, 0.0004447588284254919]","[1, 1.0]","[5, 0.22607907948636036]","[1, 0.06551000782539995]","[2, 0.6868269017286985]","[1, 1.0]","[1, 0.004877333175447814]","[4, 0.9921467012813896]","[1, 1.0]","[1, 1.0]","[2, 0.09834994603892656]","[3, 0.0036068715769885843]","[3, 0.27846678685725984]","[3, 0.27559496673173867]","[4, 0.9883591036833815]","[4, 0.08206439301873902]","[2, 0.07660515482831427]"
Child gaze:robot,"[1, 0.29663204540238247]","[5, 0.015150589196256068]","[1, 0.17347075560833802]","[1, 1.0]","[2, 2.527133031860413e-11]","[1, 0.24978228540505382]","[3, 0.11632311154396467]","[1, 0.45740621045322505]","[1, 0.1730390948532844]","[1, 1.0]","[3, 0.3923890210417057]","[2, 0.08295326086216927]","[2, 0.9928348955177292]","[5, 0.0002136871828812382]","[1, 0.16372177184711517]","[1, 1.0]","[3, 0.42962283604601226]","[1, 0.21374625270723882]","[1, 0.3590450241794466]","[2, 0.21295304650223332]","[2, 0.23092713628974743]","[1, 0.2500365162539096]","[3, 0.812719000874893]","[2, 0.9976216096082728]","[3, 0.19809307931745376]","[5, 0.42061590618887335]","[5, 0.5884403449130505]","[1, 0.25012449889954125]","[1, 0.5906473051248367]","[1, 0.007210589390080163]","[4, 0.8485935398543749]","[4, 0.49401345611758385]","[2, 0.5141853391610371]","[4, 0.05313068474938488]","[3, 0.5279554303203]","[4, 0.21793312134603687]","[1, 0.37970100777879234]","[2, 0.30417725739940593]","[1, 0.21411188630307573]","[1, 0.3081849422968486]","[1, 0.9963596632020465]","[1, 0.9963596632020465]","[5, 0.42120395325408555]","[2, 0.42161578335212235]","[1, 0.39868790328113746]","[1, 0.17347075560835334]","[3, 0.4671184954793691]","[1, 0.0001641125867896371]","[1, 0.12607379173565178]"
Child gaze:props,"[2, 0.833207171056398]","[4, 0.002104866488450887]","[2, 0.28834178212618805]","[1, 3.105941756416812e-11]","[1, 1.0]","[1, 0.004245539737731581]","[1, 0.0776042408347183]","[2, 0.6918099938263844]","[2, 0.07423461189021476]","[1, 0.000389445764543249]","[1, 0.1825024422018827]","[2, 0.03201967121139155]","[1, 0.0002460681274090791]","[5, 2.0856738271938852e-06]","[3, 0.0005027048809870824]","[1, 1.0]","[2, 0.00013601975338192743]","[4, 0.02437866731173908]","[5, 0.8260400889492128]","[1, 1.0]","[1, 0.050778372935832636]","[2, 0.410854921265985]","[1, 0.23982340342682926]","[1, 0.9572100146645849]","[2, 0.00010136913613194614]","[2, 0.2596739555410812]","[5, 0.003911838039077727]","[4, 0.031653306986127804]","[1, 0.5115775368723344]","[3, 1.0266393216110091e-13]","[3, 0.26377509890413225]","[3, 0.8105281545978735]","[1, 1.0]","[1, 1.0]","[2, 0.4972201189698999]","[1, 0.3460939332748607]","[3, 0.0022458469498910943]","[4, 0.8413421721304792]","[2, 0.35333634763852817]","[1, 0.9753235114970275]","[1, 1.0]","[1, 1.0]","[2, 0.24877707792643428]","[5, 0.817776553947549]","[1, 0.3153485027471701]","[5, 0.999998081708685]","[1, 0.009319150877515787]","[1, 0.560537607776713]","[1, 0.0776042408347183]"
Child gaze:robot or prop,"[3, 0.8019156751977228]","[1, 1.0]","[2, 0.03375964216686943]","[5, 0.5277949149736908]","[1, 0.1760014553109326]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.008947213773834627]","[1, 1.0]","[3, 0.021043188941193874]","[2, 0.08129682443576944]","[1, 1.0]","[1, 1.0]","[2, 0.018147310215116123]","[1, 1.0]","[1, 1.0]","[3, 0.12193042233033352]","[1, 0.07966802167726847]","[1, 1.0]","[3, 0.29001519285189814]","[1, 0.27245552186723176]","[3, 0.2827289980667592]","[1, 1.0]","[3, 0.3816895129840097]","[3, 0.391635188681314]","[2, 0.03375964216686943]","[3, 0.1668148617389304]","[4, 0.005505721714392146]","[1, 2.7413920081552046e-07]","[1, 1.0]","[1, 0.10701243017548329]","[1, 1.0]","[1, 1.0]","[2, 0.14956191526623608]","[2, 0.006402033543610863]","[4, 0.001660854608535428]","[4, 0.1354725690872517]","[2, 1.0254387675733287e-05]","[1, 0.05258772632328115]","[1, 1.0]","[1, 1.0]","[5, 0.3517130319462133]","[2, 0.07410961894718834]","[2, 5.5256636196258105e-06]","[1, 1.0]","[5, 0.1768090723025739]","[3, 0.5751637397081666]","[1, 1.0]"
Child gaze:parent,"[2, 0.03033740783632819]","[1, 1.0]","[5, 0.9977829773985463]","[1, 0.12373481930273504]","[5, 0.9999718492226537]","[5, 0.2499728894281097]","[1, 1.0]","[5, 0.027582560156782912]","[3, 0.007692939049141828]","[5, 0.9629918490723045]","[2, 0.00012698665301118895]","[4, 0.5149270110054803]","[1, 1.0]","[1, 1.0]","[4, 0.37108753210958817]","[1, 1.0]","[1, 0.003560268053204367]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.16362911590647272]","[3, 0.01276912515943375]","[5, 0.9998201955664898]","[1, 1.0]","[1, 1.0]","[2, 0.2692785985482061]","[5, 0.9992110982066531]","[1, 1.0]","[5, 0.9992483901072675]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 0.0010170381837325065]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.009966664591571906]","[1, 1.0]","[1, 1.0]","[5, 0.02217634449843943]","[2, 0.10163088874219472]","[1, 0.032812117142580026]","[1, 0.0005069994622323949]","[3, 0.5746329446255445]","[1, 1.0]","[1, 6.307864774110086e-07]"
Child affect:positive 1,"[3, 0.019227752715728373]","[1, 1.0]","[3, 0.0030661709130378363]","[1, 0.00018283922805978648]","[1, 0.08653415301671523]","[4, 0.06918956416324132]","[5, 0.2699607283263852]","[1, 1.0]","[4, 0.999370969748617]","[1, 1.0]","[1, 0.15883704032325158]","[1, 0.17818624849860976]","[3, 0.0054526750075973495]","[1, 1.0]","[4, 0.39976253769576386]","[1, 1.0]","[1, 0.15839824409140654]","[2, 0.0971321197155103]","[4, 0.030993493274548284]","[4, 0.9982733962226431]","[1, 0.49960109686459964]","[1, 0.481007967919313]","[1, 0.21411665771712374]","[3, 0.19915639903249555]","[3, 0.1454425612754221]","[4, 0.6141812937893316]","[5, 0.7006035084433161]","[2, 0.3625814189078716]","[4, 0.13943662779179689]","[5, 0.003967366738541712]","[1, 0.15883704032325158]","[3, 0.12309453339129309]","[4, 0.04817162349019375]","[1, 1.0]","[4, 0.9997588054454007]","[1, 0.3191000430831038]","[2, 0.5606673072160451]","[5, 0.19846317183249831]","[2, 0.09769294572922231]","[5, 0.18627110328628851]","[1, 1.0]","[1, 1.0]","[4, 0.01986919703489457]","[1, 0.02800686072602001]","[4, 0.9361208821733502]","[2, 0.059584531246785255]","[3, 0.25513213246096045]","[1, 0.06988521361008512]","[5, 0.19214786390624977]"
Child affect:positive 2,"[1, 0.01782674702029733]","[1, 1.0]","[1, 0.002026636997623489]","[2, 0.1542583696213397]","[1, 1.727950296831774e-06]","[4, 0.9977219004752766]","[1, 0.0005503862092511874]","[2, 0.24922964686832785]","[1, 1.0]","[1, 1.0]","[3, 0.07960900018595957]","[1, 0.000881348363620397]","[1, 1.0]","[1, 1.0]","[5, 0.034319956406503274]","[1, 1.0]","[4, 0.002268026759831563]","[1, 1.0]","[3, 0.22836790346738503]","[1, 1.0]","[3, 0.6700614979951951]","[1, 0.1936056940412778]","[4, 0.9986189071496069]","[4, 0.9969301493154686]","[1, 2.807077746791101e-05]","[3, 0.5525532415871535]","[1, 0.002026636997623489]","[1, 1.0]","[2, 0.22179624573189524]","[1, 0.13309909812155857]","[1, 1.0]","[2, 0.1605099311174904]","[3, 0.07828674872144445]","[1, 1.0]","[2, 0.06964376954997267]","[1, 0.06599492537671638]","[5, 0.0010795813349565196]","[3, 0.01797911302355072]","[1, 1.0]","[1, 0.021719002599855836]","[1, 1.0]","[1, 1.0]","[1, 0.10507719737307883]","[1, 0.177258136348636]","[1, 0.05589985445420309]","[4, 0.998886075465521]","[1, 0.011595958296879032]","[5, 0.715825178408235]","[1, 1.0]"
Child gesture:point at prop,"[2, 0.0008619810290598794]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.3144186765424617]","[1, 1.0]","[1, 1.0]","[3, 0.13605194144594743]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.03687710766157295]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.6380816772037596e-17]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 6.221251696956041e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
