,utterance,not sure,other vocalization,robot,props,robot or prop,parent,positive 1,positive 2,point at prop,affective touch,missing data,utterance utterance,cognitive,instruction translation,affective,technical,child,positive 3,other,song,teach,pick up,positive feedback,put down,correction,try again,start,end,PC,CP,PCP,CPC,MG
utterance,"[1, 1.0]","[2, 0.15444951422048855]","[1, 0.06282371438330259]","[5, 0.552085304250979]","[5, 0.028491344062161143]","[5, 0.7216493272449743]","[1, 0.5977162527302923]","[1, 0.3880766873619883]","[3, 0.33953123642054883]","[1, 0.17500087132689046]","[4, 0.28290497384072644]","[3, 0.8580282783800786]","[2, 0.9645922257696687]","[4, 0.13638071015850817]","[5, 4.208499592648327e-06]","[2, 0.18392129882452332]","[1, 0.020981084773602734]","[4, 0.3753014835882081]","[1, 0.47683973871595353]","[1, 0.029808100191170864]","[1, 0.055490508758422014]","[5, 0.4450446003691617]","[1, 0.6710953891366612]","[3, 0.17765463885303062]","[1, 0.085488199246623]","[5, 0.8368252124249477]","[3, 0.4054756016363922]","[1, 1.0]","[1, 1.0]","[2, 0.012526834492978818]","[4, 0.11272321453479303]","[5, 0.20154166262542578]","[2, 0.06176351374220111]","[1, 0.2994541359958019]"
not sure,"[4, 0.9594865464972302]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.005491732698046723]","[5, 2.511379560858958e-06]","[1, 1.0]","[4, 0.87123795667003]","[1, 1.0]","[1, 1.0]","[4, 0.9238220894195366]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.029892192953871567]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 1.9829576590838173e-07]","[1, 0.0003912900416327902]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.6918375227483542]","[2, 0.2167044621631228]","[4, 0.5262954621089968]","[2, 0.00022247089237232372]","[1, 1.0]"
other vocalization,"[1, 0.39347202736711295]","[1, 1.0]","[1, 1.0]","[4, 0.48077651816692457]","[1, 0.07574822467447709]","[1, 0.014878337181208606]","[2, 0.3963479425684066]","[5, 0.14188972150907117]","[3, 0.21364368711143533]","[1, 1.0]","[4, 0.04909322209954168]","[1, 1.0]","[1, 1.0]","[1, 0.2992094491406042]","[1, 1.0]","[4, 0.0001050341639319149]","[4, 0.92477972798648]","[2, 0.14447302796047004]","[1, 1.0]","[5, 0.0004447588284254919]","[1, 1.0]","[5, 0.22607907948636036]","[1, 0.06551000782539995]","[2, 0.6868269017286985]","[1, 1.0]","[1, 0.004877333175447814]","[4, 0.9921467012813896]","[1, 1.0]","[1, 1.0]","[2, 0.09834994603892656]","[3, 0.0036068715769885843]","[3, 0.27846678685725984]","[3, 0.27559496673173867]","[2, 0.07660515482831427]"
robot,"[2, 0.006338413500650515]","[5, 0.036370671409007134]","[1, 0.21237399121543665]","[1, 1.0]","[1, 0.03837965283762678]","[5, 0.0989299321512864]","[5, 0.19030773118263689]","[5, 0.19568362269039305]","[2, 0.27342494167098647]","[1, 0.21237399121545292]","[1, 0.6685151000857998]","[3, 0.9959490846141555]","[3, 0.0019370248423778722]","[1, 0.0007232428859722355]","[1, 1.0]","[1, 0.17611064506787544]","[2, 0.2734634321973832]","[1, 8.677101343622391e-05]","[5, 0.3608811076940474]","[2, 0.5724795599955108]","[4, 0.0955683638427108]","[3, 0.5593995456379897]","[4, 0.06419547349908825]","[1, 0.4210566029383871]","[2, 0.38820704071267187]","[1, 0.2550152070564762]","[2, 0.18283089455810497]","[1, 0.996445493008117]","[1, 0.996445493008117]","[4, 0.30184504950615487]","[3, 0.5062286590934297]","[2, 0.7592056567056148]","[1, 0.21237399121543665]","[5, 0.11728653347797034]"
props,"[3, 0.13765939333741625]","[4, 0.0002681981324857564]","[2, 0.2069556342215244]","[2, 0.10919677807957885]","[1, 1.0]","[3, 0.0035672104367365826]","[1, 0.23125418555134972]","[4, 0.20508777816196408]","[2, 0.07198590693052827]","[1, 0.0757482246744739]","[1, 0.03489213852647924]","[1, 5.525760086429882e-05]","[5, 0.0006982968701693148]","[3, 0.019123705936082595]","[1, 1.0]","[1, 0.3351062520021063]","[1, 1.0]","[3, 0.28553961801208655]","[5, 0.08904365242315376]","[1, 1.0]","[1, 1.0]","[2, 0.41280334157634047]","[2, 0.05457819418661934]","[5, 6.878022075298362e-05]","[3, 0.26203587900056274]","[5, 0.3849220780198042]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.018866794739968218]","[2, 0.2979597361586306]","[3, 0.033804163346021966]","[1, 1.0]","[1, 0.046533268346073804]"
robot or prop,"[1, 0.4732654124997606]","[1, 1.0]","[2, 0.05109612771182592]","[3, 0.7737864616794955]","[2, 0.361658558329595]","[1, 1.0]","[1, 0.9182453221977165]","[4, 0.07761226656425993]","[2, 0.11121664268610339]","[1, 0.2235337819400167]","[4, 0.06961370399767784]","[2, 1.2344042732555175e-07]","[1, 1.0]","[3, 0.2805369824130086]","[1, 1.0]","[1, 0.1866995996945408]","[1, 1.0]","[1, 9.616230761786127e-07]","[5, 0.024015259305950293]","[1, 1.0]","[1, 1.0]","[2, 0.188831253453709]","[2, 0.0116432723775669]","[5, 0.006073303005682686]","[1, 0.21171729341210024]","[2, 0.08410172883316676]","[1, 0.06933707775408315]","[1, 1.0]","[1, 1.0]","[4, 0.31403140163564686]","[3, 0.26771846685238465]","[3, 0.0033555143867864327]","[3, 0.9920682492282148]","[1, 0.864503828621713]"
parent,"[2, 0.41019063391563193]","[1, 1.0]","[3, 0.08965321552027117]","[5, 0.028018547406131217]","[5, 0.38797415207061003]","[5, 0.8366195272379179]","[1, 1.0]","[4, 0.40842611841966414]","[3, 0.389748951818814]","[2, 0.6126978482132541]","[4, 0.28201900763276244]","[1, 1.0]","[1, 1.0]","[1, 0.4453591367529216]","[1, 1.0]","[5, 0.28499749760728266]","[4, 0.02274945767051504]","[1, 0.47236622185169475]","[3, 0.12058874517234859]","[4, 0.19608834077842038]","[1, 1.0]","[5, 0.9998651297719431]","[5, 0.20997904287647592]","[5, 0.9999776190279615]","[5, 0.2052261658021787]","[3, 0.07243151567126875]","[1, 0.10539300617143978]","[1, 1.0]","[1, 1.0]","[5, 0.07003729462964138]","[3, 0.004910523795180129]","[1, 0.198291447460245]","[5, 0.01127600924716138]","[5, 0.00013479313493340882]"
positive 1,"[1, 0.08602417644606819]","[3, 0.9952524444179545]","[4, 0.6938852582604065]","[3, 0.10775385096232784]","[2, 0.36811872138146184]","[5, 0.29219928908821863]","[1, 0.09583464039205725]","[1, 1.0]","[3, 0.3526175855941307]","[3, 0.2696255160389543]","[1, 0.3283433914127233]","[3, 0.0880960115301068]","[5, 0.99950759448282]","[1, 0.6773232907368902]","[2, 0.002910866805202571]","[2, 0.31222121211730713]","[5, 0.7089436110373394]","[4, 0.37419699847833277]","[5, 0.6361802761245279]","[5, 0.802254017646862]","[1, 1.0]","[1, 0.06551000782540212]","[1, 0.13989740970966394]","[2, 0.7206993046098934]","[3, 0.0788047749214068]","[1, 0.2599207546883844]","[1, 0.06551000782539833]","[2, 0.9999999953879518]","[4, 0.9999999327747082]","[5, 0.475104362749165]","[1, 0.2791079018956109]","[5, 0.9871233324698392]","[4, 0.4070835405867891]","[1, 0.16708473447096614]"
positive 2,"[4, 0.19445610221046497]","[4, 0.9997077449643352]","[4, 0.9999709253484707]","[3, 0.3434290854856858]","[1, 3.666361580434121e-06]","[5, 0.1728659532076958]","[1, 0.007296562940030449]","[4, 0.7178571740634232]","[1, 1.0]","[5, 0.31378265015208434]","[4, 0.8727172616995216]","[4, 0.00032715443973896266]","[1, 1.0]","[5, 0.4478637299870586]","[1, 1.0]","[1, 0.2820771012129003]","[1, 0.010229970484983685]","[2, 0.3220875478716058]","[1, 0.046993905370117356]","[2, 0.2432265669249842]","[1, 1.0]","[2, 0.33071456783347575]","[4, 0.799663702589221]","[5, 0.1255923049102182]","[5, 0.19541813129279306]","[3, 0.32942542945977954]","[1, 7.489991821752469e-06]","[1, 1.4873237824258987e-10]","[3, 0.9999999163320037]","[5, 0.19520051342195235]","[2, 0.6852237345272394]","[3, 0.3070432784849083]","[5, 0.5298305335967896]","[1, 1.0]"
point at prop,"[1, 0.03942009502084103]","[1, 1.0]","[5, 0.6909244586668285]","[1, 0.2110609404877678]","[2, 0.9882521790787768]","[1, 0.2221120056742085]","[2, 0.6321988896399364]","[2, 0.18609881876019627]","[1, 0.31894717309954096]","[1, 1.0]","[2, 0.19788518827035087]","[1, 1.0]","[1, 1.0]","[1, 0.009044706797607334]","[4, 0.4578567494287116]","[1, 0.40247916615218426]","[3, 0.2587259410741277]","[1, 0.19899591671775957]","[2, 0.9911836005708288]","[3, 0.001577974327791487]","[5, 0.9999992338132682]","[4, 0.004352293382271482]","[1, 0.09583464039207086]","[1, 0.045889943341981654]","[1, 0.3835256184843251]","[3, 0.12476091541741925]","[3, 0.7201274950264844]","[1, 1.0]","[1, 1.0]","[3, 0.04726797086352022]","[1, 0.4984817213497278]","[1, 0.33832183835339]","[5, 0.07976425658447256]","[1, 0.8628067462560653]"
