,utterance,not sure,other vocalization,robot,props,robot or prop,parent,positive 1,positive 2,point at prop,affective touch,missing data,utterance utterance,cognitive,instruction translation,affective,technical,child,positive 3,other,song,teach,pick up,positive feedback,put down,correction,try again,start,end,PC,CP,PCP,CPC,MG,time
utterance,1.0,0.001856161367219367,0.005388106953982154,0.01906291811425656,0.006896466756691888,0.00030061330112550716,0.024929416956033453,0.010149075346093201,0.003975082416234306,0.0017479743204218484,0.023136755025861763,0.004603954174795877,0.0027862712156063235,0.2948393887830126,0.015989554178736494,0.0004684984319544728,0.0027904099956261664,0.01719937939959084,0.004918994537301936,0.0036041744509087087,0.062343979418378624,0.001997842402977258,0.0056544785424942744,0.018075409114822038,3.502978602534154e-05,0.0005950443056132239,0.0012138568310407212,0.001856161367219367,0.001856161367219367,0.13344405095990197,0.18606947764327902,0.20858506051168477,0.08477374005668403,0.037425325453593804,1.0
not sure,0.08439592411857054,1.0,0.0016376979818063556,0.07547992904007322,0.08224628273495563,0.02400232458439618,0.00917553783602056,0.1343093680639769,0.038431085302680565,0.018319611043304335,0.07778523388006577,0.001488020607957044,0.00044474461139027625,0.04118629282601757,0.0019375346103788589,0.02070229196173203,0.0016376979818063556,0.08991932880763348,0.006359060881201326,0.00497183010906893,0.013672784730661983,0.012211394974848506,0.014327230074846615,0.012696828552217564,0.05001963901042276,0.005895118610779341,0.006049594932335274,0.0002963390592308076,0.0002963390592308076,0.05739517258396669,0.16157596135492508,0.0714732341072655,0.16347055712066766,0.004512463719588348,1.0
other vocalization,0.058521573188154666,0.0003912081147602993,1.0,0.01809315807868573,0.002497263721909448,0.00357581951149934,0.012114860892668798,0.010019097412716334,0.0005227498178139961,0.024192249288097253,0.005302475579255887,0.0019644313353103845,0.0005871252572712126,0.016164780272241885,0.002557883531705069,0.001415344010425235,0.002162035640266877,0.004616006203806199,0.008395721335150926,0.006564031406890303,0.018054248787858457,0.016124122516549568,4.4786530637121674e-05,0.01676524567834005,0.02847736472146606,0.0043746052739696865,0.007987096726434193,0.0003912081147602993,0.0003912081147602993,0.09136299569087616,0.020953123069193474,0.000517333706482325,0.2167451352876008,0.005957507236384005,1.0
robot,0.01932737398795866,0.0016830972392675022,0.0016889549325113428,1.0,0.07378271424199115,0.066515578940238,0.008055065117039366,0.001146711234196541,0.008883261756409851,0.020174810677111826,0.0003500774480359887,0.008121739994810523,0.0025264225233838384,0.024869832171844082,0.011025643187274845,0.00029433455291554873,0.009316119792357186,0.07197290067366323,0.025192654618622797,0.028395026213786895,0.030500950155411388,0.017533837932906686,0.002761542407880047,0.0032736758893154617,0.014073885572532651,0.008023380117268995,0.00870662128629056,0.0016830972392675022,0.0027302942330384742,0.00900417343489489,0.0005189076524378657,0.026578869765155215,0.004244118162453226,0.02486326129667289,1.0
props,0.006913975909219128,0.0018134757377792116,0.00023050791291473423,0.072957908311414,1.0,0.002626469227481985,0.0025275088788393575,0.008708914858939808,0.05808531794747415,9.466937877896058e-06,0.018746123612069787,0.007209585096894192,0.0037566907574756573,0.03193178155348652,0.011882234390063225,0.0001371219617163304,0.0028132756244044588,0.01735835371114094,0.0008573671963200405,0.010296108337007198,0.08521564170460537,3.399472313324929e-05,0.0001669504121828337,8.713543574363463e-05,0.03940231862689468,0.018781179662360207,0.0011853821836025193,0.0018134757377792116,0.0018134757377792116,0.00757581111204101,0.00368913952974412,0.014078809070174064,1.71112424359066e-06,0.021270573256970057,1.0
robot or prop,0.0004750785032829771,0.0008342663901200378,0.0005202990010871163,0.1036805026988366,0.004140266425513402,1.0,0.008709018188796925,0.00017731310095708884,0.026105415003424916,0.017031839827434444,0.0028088712485117187,0.024974912614571063,0.0012521238576183435,0.0018894344539262802,0.0054575247199679456,0.011405590707018276,0.0011543720671771866,0.00416179995662858,0.00232694098140439,0.014018260860373522,0.038664697009958914,0.004292730385387578,0.04052459971222965,0.04610789269975987,0.03447814153154801,0.0012554661243258484,0.0014199475026883742,0.0008342663901200378,0.0008342663901200378,0.004117745287543012,0.00293837172859934,1.452395784418559e-05,0.0013187894301833814,0.01272113205672618,1.0
parent,0.07260557851384662,0.0005877378440071195,0.0032486020648251155,0.023138939805165026,0.007342591103834373,0.016049809407557236,1.0,0.01052197907240048,0.04693410195695456,0.014191968316069632,0.055424352689638565,0.002951644460086567,0.0008820900981970795,0.02564751283902212,0.003843504753386735,0.004255346053049118,0.05692175474673,0.00038597198756302103,0.02479605504817436,0.00172622212655733,0.02716130091471671,0.024253821128053177,0.0003345310632705355,0.02521948554219736,0.0006372787726177487,0.0002604067463667486,0.012006482094849502,0.0005877378440071195,0.0005877378440071195,0.0058056456995017386,0.03378141447937948,0.08771874623969746,0.01853296551858579,0.4091463392305004,1.0
positive 1,0.010502235396814167,0.0030567212329026187,0.0009545618783307718,0.001170377248707804,0.008989139114165264,0.00011610178848795294,0.0037384780626444083,1.0,0.009675407684362295,0.00041653366460341957,0.03583276342735183,0.007732258459276868,0.0023085746790264556,0.002533247541917942,0.0010360712446243492,0.00043681003177984936,0.00047772489841755965,0.002557265957584313,0.017978941883112918,0.001466105371948931,2.1303670520750908e-05,0.00024004228511165192,0.0009047925846805381,0.00620182820374379,1.4854004649426222e-05,0.0008257355566901054,0.011580586921988953,0.0015380002219290674,0.0015380002219290674,0.014381227114812501,0.008518811242205123,0.015306640609054312,0.03522623540446942,0.008098155020307942,1.0
positive 2,0.00496561552934398,0.0010558539737575896,6.0123057595875206e-05,0.010945004499369923,0.07237558869421504,0.020634804947391748,0.020130640672864217,0.01167994923299852,1.0,0.006704821561100886,0.002677061101046062,0.005689476221754656,0.0015847481221950266,0.012357282092141418,0.006909533633784796,0.0010395509285939144,0.0015936434045021877,0.023499870623405316,0.002442960061715728,0.011578498886912921,0.05996740267273388,0.029892507767644506,0.02405001894039355,0.0024427767209942624,0.0009261825878807601,0.000839670659942575,0.010604417104376299,0.0010558539737575896,0.0010558539737575896,0.0007294057026913316,0.0015030228335528952,0.011290839633513386,0.003589284285635221,0.016114762640627202,1.0
point at prop,0.003232902619695503,0.0007451918217846409,0.004119590420154301,0.0368030299351929,1.7464891320197287e-05,0.019932508245905808,0.009012439019945884,0.0007444789293553774,0.009926995982261428,1.0,0.001734712219897227,0.0037429444551268795,0.0011184213051543825,0.002382800761840008,0.051736855367274986,0.0019705302580750018,0.004119590420154301,0.08939180234922676,0.01601466668721644,0.005269498243185412,0.033700521115310134,0.32020970688153827,0.001875301350433007,0.03202716075963576,0.04284684692587669,0.003386768973379222,0.015234132836505949,0.0007451918217846409,0.0007451918217846409,0.031049668961849637,0.007642300636802789,0.04125167899772803,0.040769762603753715,0.011358989711987968,1.0
