,total time,count,normalized total time,normalized count
Child affect,73.84,23,0.15642974114097954,0.0487254069101101
Child affective touch,54.32000000000001,7,0.11507670014596438,0.014829471668294377
Child gaze,417.076,56,0.8835738179322209,0.11863577334635501
Child gesture,2.4,1,0.005084390286272358,0.0021184959526134826
Child prop manipulation,52.4,21,0.11100918791694647,0.04448841500488313
Child utterance,44.794,44,0.09489590770136833,0.09321382191499322
Conversational turns,822.8380000000002,134,1.7431789726565732,0.28387845765020664
Joint attention,202.997,50,0.43004832289267914,0.10592479763067413
Mutual gaze,13.319999999999993,4,0.02821836608881157,0.00847398381045393
Non-verbal scaffolding,54.40000000000001,21,0.11524617982217347,0.04448841500488313
Parent affect,242.08,40,0.5128455002086718,0.08473983810453929
Parent affective touch,174.60000000000002,32,0.3698893933263141,0.06779187048363144
Parent gaze,450.4599999999997,73,0.9542976868142686,0.1546502045407842
Parent gesture,5.639999999999999,7,0.01194831717274004,0.014829471668294377
Parent prop manipulation,7.36,7,0.015592130211235232,0.014829471668294377
Parent utterance,142.2330000000001,82,0.3013200348280736,0.17371666811430556
Verbal scaffolding,109.456,62,0.23188209298926135,0.13134674906203592
robot pointing,39.08000000000001,18,0.08279082182813492,0.03813292714704269
robot text,255.03999999999994,84,0.5403012077545424,0.17795366001953253
start-end,0.52,2,0.001101617895359011,0.004236991905226965
CP,154.42700000000008,36,0.3271529744742424,0.07626585429408538
CPC,197.0940000000001,23,0.41754284128440194,0.0487254069101101
MG,13.319999999999993,4,0.02821836608881157,0.00847398381045393
PC,184.96300000000014,39,0.39184336688324783,0.08262134215192582
PCP,286.3539999999999,36,0.606639790014681,0.07626585429408538
affective,56.720000000000006,18,0.12016109043223674,0.03813292714704269
affective touch,228.92000000000002,39,0.4849660934722784,0.08262134215192582
child,208.66000000000003,53,0.4420453654723293,0.11228028548851457
cognitive,100.45,55,0.21280291844002433,0.11651727739374154
correction,16.56,6,0.03508229297527927,0.012710975715680894
end,0.24,1,0.0005084390286272357,0.0021184959526134826
instruction translation,3.806,6,0.008062995595646914,0.012710975715680894
